Duration (in seconds),Consent Form_Page Submit,Prolific ID_Page Submit,Prolific ID_Click Count,Visualization_Page Submit,Self Assessment_Page Submit,Visual Literacy,Visual Literacy_text,Understanding,Understanding_text,Complexity,Complexity - Unclear,Animation_Page Submit,Animation 1,Animation 1_text,Animation 2,Animation 2_text,Knowledge_Page Submit,Knowledge,Knowledge_Score,Comprehension_Page Submit,Comprehension_Click Count,Comp - Summary,Comp - Takeaway,Application_Page Submit,Application,Application_Score,Analysis_Page Submit,Analysis,Synthesis_Page Submit,Synthesis AR,Evaluation_Page Submit,Evaluation,Knowledge 2_Page Submit,Knowledge 2,Knowledge 2_Score,Trust_Page Submit,Trust,Trust - Explanation,Survey-Timer_Page Submit,S2,S3,S3_3_TEXT,S4,S4_6_TEXT,S5,S6,S7,S7_6_TEXT,S8,S9,PROLIFIC_PID,Visualization,CONDITION
886,34.061,5.593,0,65.894,28.009,5,Familiar,1,very easy,3,,13.78,5,very helpful,3,"no, the animation made the data easier to understand.",14.446,11,1,160.176,2,"The red arrows show the increase in hospitalizations over the past two weeks per state and the location of the arrow is dependent on the % of state who are vaccinated. The purple arrows show which states have had a decrease in hospitalizations and as with the red, the location of the arrow is dependent on the % of state who are vaccinated","In general, the states who have higher populations of vaccinated people are showing a decrease in hospitalizations due to Covid-19. ",33.316,3,1,129.305,The rates of Covid-19 hospitalizations are significantly higher in states with a lower percentage of unvaccinated people. In states where the population is over 60% vaccinated show a decrease in Covid-19 hospitalizations,60.086,I would suspect Arkansas and Rhode Island to increase in Covid-19 hospitalizations,194.633,"Looking at the 60 to 70% share of fully vaccinated states, we see that there have been a decrease in hospitalizations due to Covid-19. Rhode Island is a smaller states so likely numbers are easily affected. That aside, as you look from 30% to 70% fully vaccinated states, there are significant decreases in hospitalizations showing that more people should get fully vaccinated. Only states with low shares of fully vaccinated people are showing significant increases in hospitalizations. ",29.099,17,1,60.41,7,Looking at the states with a lower % share of fully vaccinated just does not surprise me. That alone makes me trust it a bit. ,33.523,2,1,,"2,5",,4,1,3,,4,5,6108ad99f8fd96470d46b3f0,scatter arrows,animated
373,6.656,3.873,0,15.069,14.721,1,Not at all,7,very hard,9,There was too many arrows going in different directions. There was also no legend to show what the colors meant. ,,,,,,41.854,15000,0,79.04,2,It tells you the changes in covid cases and hospitalizations in specific states in the US.,Some states are increasing and some are decreasing.,17.583,3000,1,16.652,It has increased,28.862,They will continue to increase,19.949,You could get your vaccine and wear a mask,15.775,23000,0,28.862,5,The increments are too big so you cant get an accurate number,24.99,1,1,,5,,2,3,1,,1,5,6100b94f1750b9db274684c7,scatter arrows,static
969,43.165,4.845,0,50.777,24.042,1,Not at all,6,hard,3,"Personally I feel that I could use context clues to understand, but overall the graph was hard to understand.",,,,,,33.29,11,1,122.217,2,This graph shows the change in number of hospitalizations per 100000 people in each state in the past two weeks.,The amount of hospitalizations seems to be going up more than down.,63.835,400000,1,91.146,"While many states do go down, more go up, and specifically Arkansas, Missouri, Nevada, and Florida have greater spikes.",150.801,"Rhode Island might increase to about 1000000, and Arkansas could spread to up to 25000000.",96.043,"The states that are having these huge spikes in hospitalizations are the ones with the least vaccinated people, and the ones where the hospitalizations are down are where more people are vaccinated.",26.501,600000,1,129.391,6,"I trust that this visualization is mostly correct, just because of what I personally know and believe about the vaccine. However, I was just not given many sources to show that these numbers were correct.",34.514,1,1,,5,,2,3,4,,5,4,61146be697df3c19ab89118f,scatter arrows,static
915,11.34,28.209,0,38.153,18.981,2,Somewhat familiar,3,somewhat easy,2,,,,,,,44.481,17,0,266.465,6,"It tells you the number of hospitalized per 100,000 people in different states in relation to the percentage of fully vaccinated individuals in those states. ","According to this, it seems as though the smaller states with more fully vaccinated individuals have fewer hospitalized people. ",32.314,5,1,104.019,There have been more rises in hospitalization than falls. ,45.516,They might continue to rise. ,139.313,"The graph shows that in states with higher shares of fully vaccinated individuals, there are fewer hospitalizations. So, going by the data in this graph, getting the covid vaccine would reduce the number of hospitalizations. ",14.875,11,0,72.791,4, I would need to see all of the actual data that this graph is based on in order to trust it. ,73.175,1,1,,5,,4,2,5,,3,4,6103784160176523a4624d07,scatter arrows,static
1079,51.416,20.058,0,34.147,20.914,2,Somewhat familiar,2,easy,2,,,,,,,39.948,10,1,270.27,5,It shows the change in hospitalizations of COVID-19 patients over a two week period in each state. It shows that the hospitalizations tend to trend upward in states with a lower rate of vaccination and trend downward in states with higher rates of vaccination. ,The main takeaway is that most states with a higher percentage of vaccinated citizens are seeing a decrease in overall hospitalizations for COVID-19.,62.653,2,1,81.662,"States with fewer vaccinated citizens are seeing a spike in hospitalizations, while states with more vaccinated citizens are seeing a drop.",238.202,The number of people hospitalized in Arkansas can be expected to increase to well over 20. The number of people hospitalized in Rhode Island might be expected to remain the same or begin to fall if they hold with the pattern of higher vaccination rates causing a drop in hospitalizations.,80.628,Get vaccinated. The information in this graph shows a clear correlation between vaccine and hospitalization rates. ,23.883,6,1,99.129,7,Data on vaccination rates and hospitalizations is readily available and there is no clear reason for the data to be skewed.,26.892,1,1,,5,,3,2,5,,5,4,611f187fb1ad87cdaf84cee2,scatter arrows,static
490,10.41,4.116,2,30.008,18.706,2,Somewhat familiar,5,somewhat hard,3,The labels of the points and the relation of the x and y axis to each other re: cases vs vaccination percentages. ,,,,,,19.531,5000,0,97.199,20,That the more individuals that are vaccinated in a given state directly impacts the amount of COVID cases and brings them down with some significance. ,That COVID vaccines help to prevent a significant jump in COVID cases - or at least those hospitalized for the disease. ,20.809,3000,1,18.749,They have largely increased across all states. ,54.562,They would continue rising precipitously in Arkansas and perhaps slightly less dramatically in Rhose Island. ,54.032,Increasing vaccinations would reduce the number of hospitalizations as evidenced by the decline in hospitalizations in states with a higher vaccination rate. ,16.928,12000,0,52.521,6,Numbers during the pandemic have often been skewed and with the politicalization of the pandemic it's difficult to put full faith in any statistics. ,28.858,1,2,,5,,3,2,5,,6,5,61082f5e803b8a2d2a0a4df9,scatter arrows,static
812,6.939,2.231,0,23.648,16.008,2,Somewhat familiar,3,somewhat easy,3,,,,,,,21.735,11,1,145.658,3,"It tells me the net increase or decrease in Covid cases per 100,000 in tandem with the percentage of the population who are fully vaccinated. It shows the relationship between these two things.","That the states with the lowest vaccination rates saw the greatest increases in Covid cases. Those with higher vaccination rates showed lower increases or decreases in the cases per 100,000.",57.246,3,1,67.035,"Overall there were more states with increases than decreases, and several states showed large increases (and these states all have less than 50% vaccination rates).",71.695,"I would expect Arkansas to increase even more over the next two weeks than the last two, and Rhode Island to increase by a greater number than it did over the last two weeks as well. ",195.186,"I think we are supposed to gather that higher vaccination rates will lead to lesser upward trends in Covid hospitalizations. This may be true but is very simplistic.

This graph shows correlation and not causation, however! I would like to see the rates of poverty, obesity, comorbidities, and age as well before drawing too many conclusions.",14.49,17,1,150.546,7,"I trust it- it came from Harvard! But correlation is not causation. There are other factors that have been largely left out of the dialogue because they are not politically correct, and these have to do with the overall health and obesity of the American people. 

And on the other hand, poor people are less likely to go to the hospital so that is an argument for the graph actually underrepresenting the severity in the worst places. ",20.116,3,1,,5,,4,2,5,,3,5,5a50737f76d1c60001aa98d5,scatter arrows,static
963,131.957,3.897,0,67.794,83.726,1,Not at all,7,very hard,2,What states were listed on there wasn't close to the amount of arrows that were shown on the graph. Some arrows didn't have any labels and all around the graph itself made no sense. I think it would have been better to use a line graph. ,,,,,,62.786,16,0,86.551,6,The more people vaccinated the less likely people will be hospitalized.,The main takeaway is to get vaccinated not just for yourself but those around you.,79.457,4,1,40.878,Those with a higher vaccination percentage tend to have a lower hospitalization number.,63.664,"Arkansas will increase while Rhode Island will decrease given Rhode island is gaining more vaccination percentage. 
",130.92,Insuring more vaccines within a state will decrease the amount hospitalized. The average of hospitalized is way higher the less vaccinated the state is given the likes of Vermont to Arkansas.,22.855,23,0,62.333,5,The visualization I think is done very poorly which leads me to believe less in the evidence they found. ,38.84,1,2,,"3,5",,2,2,3,,6,4,61203d5cec6a27678a754850,scatter arrows,static
782,43.078,3.845,0,46.199,28.5,1,Not at all,5,somewhat hard,3,I Dont understand why there were so many different colors and was difficult to understand what line belonged to what state?,,,,,,57.801,11,1,133.426,8,It tells you if there was a decreased or increased number of hospitalized people from COVID over the past two weeks and in what state. It also tells you what share of those people were fully vaccinated. ,"The more people fully vaccinated in a state, the higher the chances are that there will be a decreased number of hospitalizations due to Covid. ",51.169,4,1,46.303,The hospitalizations increased the most in states that were not fully vaccinated over the last two weeks. ,68.781,"In Arkansas, the numbers might continue to increase but in Rhodesia Island, they might start to decrease. ",131.516,"The amount of people fully vaccinated in a state will greatly determine the number of hospitalizations due to Covid. As you can see from Maine, Massachusetts and Vermont, the percent of fully vaccinated people in the state was over 60% and they have experienced a decrease of hospitalizations over the last two weeks. ",12.002,16,1,72.295,6,"All the arrows are confusing so I do not fully understand the chart, therefore how can I trust the information. ",27.141,1,1,,5,,3,3,5,,3,5,6110bf9b59ab311e2d98e22d,scatter arrows,static
836,42.095,4.148,0,40.687,16.001,2,Somewhat familiar,5,somewhat hard,3,"The part that I struggled with was the percentage, or at least what that percentage meant. Because even though it mentions % vaccinated, it doesn't give a clear example of if it was before or after vaccinations, or if it was tested among what could have been a ""controlled study."" Like if they tested a specific amount of people per state (although I have a feeling that it was based off the overall state's population).
What would have also helped would be if the arrows were spaced further apart so it didn't feel so crammed.",,,,,,23.006,15,0,71.612,5,The states with the higher percentages of a fully vaccinated population has fewer cases of covid in hospitals.,Vaccines work and help keep the virus from spreading.,47.473,250000,0,40.805,The states with the fewer vaccinations have a higher hospitalization than those that are fully vaccinated.,105.289,"If people don't vaccinate in Arkansas, then their numbers will continue to spike (unless the population drops, but then there wouldn't be people to infect).
Since Rhode Island is on the right side of the chart, I believe we will see a decline in cases, or it will even out.",76.09,"Try to force people to be vaccinated (especially the states on the left side of the chart) because the higher the percentage of vaccinated populations means a lower chance of the virus spreading. It doesn't make it zero, but it should reduce it.",18.812,110000,0,61.75,7,"I believe that vaccinations work (because there is science behind vaccinations).
I don't trust it completely though because they could be using incorrect data between the states.",33.24,1,3,,5,,2,2,4,,5,4,61085dc1f2844ba71d2801ba,scatter arrows,static
803,37.813,2.455,0,33.972,14.841,2,Somewhat familiar,3,somewhat easy,5,,,,,,,58.746,16,0,115.525,2,"It shows the percent of people vaccinated per state (x axis) in comparison to the amount of people hospitalized per 100,000 people. In addition, the direction and color of the arrows represents whether the number has increased or decreased from previous hospitalization numbers.",That the states with the highest vaccination rates have a correlation to lower hospitalization rates.,36.794,3,1,68.047,Most states with low vaccination rates (50% or less) have significantly increased COVID 19 hospitalization.,87.246,"If the trends shown in the graph remain true, the hospitalization rates in Arkansas will almost definitely increase, while the hospitalization rates in Rhode Island may rise at a slower rate.",194.111,"According to the graph data, there is a correlation between the vaccination rate of each state and its hospitalization rate. The relationship is indirect, so when there is a rise in the percent of vaccinated individuals, there is a drop in their hospitalization rates. The conclusion to be drawn from this is that to decrease COVID hospitalizations, efforts should be made to increase the vaccination percent in each state to at least above 50%.",14.293,12,0,87.882,8,"As someone who has kept up with the news and research surrounding COVID-19, the graph represents what I know to be true; higher vaccination rates help decrease the hospitalizations from COVID, and that there is a much bigger risk of COVID infection in states with low vaccination rates.",31.813,1,1,,5,,2,1,5,,4,5,611130bca2166d1f370a484b,scatter arrows,static
562,7.092,2.934,1,24.01,21.765,2,Somewhat familiar,3,somewhat easy,2,,,,,,,29.501,10,1,202.982,9,"This tells me that all the states that are in red have had an increase in COVID hospitalizations in the last two weeks while the states in purple have had a decrease in COVID hospitalizations in the last two weeks. On the bottom axis the graph shows the percentage of those fully vaccinated in those states while the y axis shows the populations in these states that are hospitalized per 100,000 people. ",The main takeaway is that the more people in the states who are less vaccinated have a higher percentage of COVID hospitalizations while the states of people who are more fully vaccinated have lower percentages of people who are hospitalized due to COVID.,31.35,6,0,28.338,There are higher increase in COVID hospitalizations than decreases. ,54.711,The rate of hospitalizations in Arkansas might increase while the hospitalizations in Rhode Island would decrease.,48.034,"getting vaccinated would help reduce the number of COVID hospitalizations. Based on the graph, the states with more people fully vaccinated have less people in the hospitals due to COVID",29.733,6,1,39.575,7,I gave it a 4 because it came from a well studied source and was easy to read,22.227,1,1,,5,,3,3,3,,5,4,611dddc3d768df1f8097dc94,scatter arrows,static
1268,272.189,13.425,0,56.037,29.263,1,Not at all,3,somewhat easy,3,,,,,,,21.833,10,1,361.338,8,"By state, this graph shows how the number of covid hospitalizations per 100,000 people in the past two weeks.  The arrow head indicates the current data, and the tail of the arrow represents the data from two weeks ago.  The color of the arrow (along with the direction) indicates whether the number of hospitalizations has increased or decreased over the past two weeks.  The y-axis shows what percentage of that state's population has been vaccinated. ","I think the main idea the graph is trying to display is that there is a trend wherein the higher the proportion of a state's population is vaccinated, the lower the incidence of hospitalizations due to covid. ",36.921,3,1,117.98,"There are both increases and decreases depending on the state, however the general trend shows that states with a higher proportion of their population being vaccinated are more likely to have lower incidences of hospitalizations and decreasing numbers over time. ",79.884,"It looks like both Arkansas and Rhode Island have an increasing number of hospitalizations over time, so it is likely the number will continue to rise.",126.359,"The trend suggests that when more of a state's population is vaccinated, the more likely it is that their number of hospitalizations will decrease over time and be lower than the states with less vaccinated populations.  Based on this trend one way to help reduce the number of covid hospitalizations across the US would be to try and vaccinate a higher percentage of the population.",19.35,6,1,91.36,6,I gave a neutral rating for this visualization because I haven't seen where/who the data is coming from.  ,23.958,1,1,,5,,3,2,4,,5,5,6110cf8b556554fae002dbb9,scatter arrows,static
834,43.287,7.269,2,48.11,14.549,1,Not at all,2,easy,3,,,,,,,72.065,17,0,192.631,6,"The red arrows going upward indicate an increase in how many people per 100,000 are getting hospitalized from that state. The purple arrows show a decrease in people being hospitalized. There are many more red arrows in the lower section of people being fully vaccinated which could mean there is a higher chance of being hospitalized if not fully vaccinated. ",Getting vaccinated will surely help everyone and decrease how many go to the hospital.,129.078,3,1,38.256,The fewer people vaccinated the more hospitalizations there are.,73.015,I think they will decrease as the share of fully vaccinated increases.,103.547,"Getting vaccinated would help reduce the numbers as shown by Washington D.C. decreasing from 9 out of 100,000 as well as Maine, Massachusetts, and Vermont because at almost 70% of vaccinations and not at all as high in cases as even Arkansas at 35%.",16.017,11,0,39.747,7,"The arrows without a name can be seen as slightly confusing since they are not all in one line to show it as from the same state, otherwise I understand the idea of the graph pretty well. ",40.006,1,1,,5,,2,3,4,,4,4,6120763df07c803bed645c97,scatter arrows,static
673,7.671,3.044,0,55.352,20.885,5,Familiar,2,easy,2,,,,,,,45.273,10,1,141.163,11,This visualization tells me the relationship between COVID-19 vaccination percentages and COVID-19 hospitalizations. ,"The main takeaway is that overall, states with more vaccinations have decreased their amount of hospitalizations in the past two weeks. ",16.011,4,1,57.941,The trends overall are small both when increasing and decreasing in number of hospitalizations. ,73.064,"I would expect Arkansas to continue to climb while Rhode Island, I would expect to decrease. ",87.639,"This graph could be used to help make sure that people get COVID-19 vaccines. This is because this graph demonstrates that the states with the highest shares of fully vaccinated people, have a decreasing number of hospitalizations. ",26.373,7,1,74.669,7,"From my own understanding and knowledge of the news and information surrounding the vaccine and hospitalizations, I feel that this graph makes sense. It feels slightly vague which is why I do not completely trust it. ",42.235,1,1,,5,,3,2,3,,4,4,6100aa952217f4f0bdb4c915,scatter arrows,static
1092,13.53,3.742,0,40.652,23.18,2,Somewhat familiar,2,easy,2,,,,,,,68.32,10,1,235.556,11,"It is showing the increase and decrease of hospitalizations in relation to the share of fully vaccinated people. it would seem that the more vaccinated a state is, a decrease in hospitalizations rates is seen. Whereas, states with a lower percentage of fully vaccinated people, are experiencing increases in hospitalization. ","The higher the percentage of vaccinated persons in a state, the lower the rate of hospitilizations.",133.528,5,1,115.907,"Arkansas, Missouri, Nevada, and Florida etc. are seeing increased hospitalizations in the past two weeks, they all also have lower percentages of fully vaccinated people.",127.064,"Arkansas will likely continue to have higher rates of hospitalizations, and it may even increase as they exhibit lower rates of fully vaccinated people. Whereas Rhode Island while currently experiencing a spike, will likely decrease in hospitalization cases going forward as more of the populous is fully vaccinated. ",115.856,"It is very clear that the higher rate of fully vaccinated persons by state heavily influences the rate at which they experience COVID-related hospitalizations. Therefore, the more the American people get vaccinated, the less they will experience COVID-related hospitalizations.",76.045,15,0,85.655,7,"Harvard University is reputable in terms of its stats and studies, so I trust these visualizations, that said it would be nice to know more, about these data depictions and their sources so that's why only a 4/5",27.913,1,1,,5,,5,2,4,,5,3,60feb4aa6b064157812af3f3,scatter arrows,static
1262,5.071,6.94,0,34.139,32.702,2,Somewhat familiar,5,somewhat hard,3,The arrow on the visual picture ,,,,,,56.377,17,0,156.146,30,"It gives the number of people hospitalized per 100,000 in different areas ",The breakdown of persons hospitalized and  share of vaccination,101.469,7,0,63.52,There was increase in over the last two weeks,186.926,It might increase in both Arkansas and  reduce in Rhoda Island,139.829,There should be increased in the number of share of vaccination reason is that it can be seen from the graph that states with increased share of full vaccine have little rate of people getting hospitalized. ,27.239,12,0,128.675,6,The visualization can not be fully trusted,114.894,1,2,,3,,4,2,5,,3,4,611ca90e403c693054e1207c,scatter arrows,static
2283,96.648,4.587,0,256.187,44.736,2,Somewhat familiar,3,somewhat easy,3,,,,,,,62.989,160000,0,182.263,13,Red arrows account for an increase in vaccination depending on percentage of individuals fully vaccinated. While on the other spectrum blue arrows are the states that saw a decrease in hospitalizations. ,The higher the percentage of fully vaccinated individuals per state the lower the hospitalization rate.,181.591,50000,1,171.878,There are more prominent rising or falling trends depending on percentage of vaccination.,299.167,If there is a report showing a decrease in fully vaccinated people the hospitalization number of people may change.,657.504,It appears that in more rural or highly congested areas/cities the rate of vaccination decrease s hospitalization. However i do not posses accurate knowledge on availability of vaccinations to further access this diagnosis. ,91.606,55000,0,150.969,6,"Some factors such as accessibility to vaccines,  and the action/responsibility of individuals sharing knowledge of being partially or fully vaccinated could be off.",53.525,1,2,,3,,3,2,5,,3,5,6111d13e9704bb1ec7ec95fb,scatter arrows,static
1118,30.491,2.703,0,97.811,34.022,6,Very familiar,2,easy,5,,,,,,,97.97,17,0,229.124,4,"It describes the change in hospitalizations per 100,000 people in states and the correlation of people vaccinated having an effect on the number of hospitalization.",I would say that states with a very high number of vaccinated citizens will result in a much lower rate of hospitalizations compared to those states that have less vaccinated citizens. And thus implying that vaccines are effective and can be used as a metric to incentives individuals that are hesitant to vaccines to get vaccinated.,94.723,5,1,116.431,I would describe the trend as very alarming in states that have a low vaccine rate while also showing significant improvements in states with a high vaccine rate.,127.675,"I would expect Arkansas to rise or plateau at a high number per 100,000. For Rhode Island I would also expect the numbers to become stable and then to start to decrease. ",143.499,"Well given the extremes in differences between states that have a high number of fully vaccinated citizens (Vermont) compared to those that do not (Missouri), I would say that encouraging people to get vaccinated is the most important measure that could and should be promoted. Asking people to use masks and social distancing is also very important. ",12.146,23,0,94.051,6,I would need to see the source and citations of the data to be more trustful although I gave it a 3 because the trends in general have been as what is presented in the graph so I believe that it is presenting credible information.,16.839,2,2,,6,Latino,4,3,4,,4,5,612039d9400fae9545b3c5a8,scatter arrows,static
951,37.288,2.677,0,47.191,64.182,1,Not at all,1,very easy,3,,,,,,,59.373,14,0,293.163,15,"The state of the data is labeled beside the arrow it corresponds to. The red arrows pointing upward indicate that the state had an increase in number of hospitalized per 100,000 people. The blue arrows pointing downward indicate that the state had a decrease in number of hospitalized per 100,000 people. The horizontal axis shows the percentage of how much each state is fully vaccinated based on their placement on the graph. Longer arrows indicate a larger difference while shorter arrows indicate a smaller difference in hospitalizations. ","States with higher vaccination percentages tend to have lower hospitalizations per 100,000 people than states that had lower vaccination percentages. ",34.727,3,1,69.062,States with a higher share of fully vaccinated people tend to have a decrease in COVID 19 hospitalizations over the last 2 weeks.,88.168,Arkansas may have a larger increase of COVID 19 hospitalizations than Rhode Island. Rhode Island may increase less or even decrease the amount of hospitalizations.,67.513,"States with the higher share of fully vaccinated people tend to have a decrease of COVID 19 hospitalizations, therefore, getting more states to vaccinate more could help reduce the number of COVID hospitalizations across the US.",18.759,16,1,113.045,6,"I do not know where the data to form this visualization came from or if it is trustworthy. I do not trust it completely, but do not distrust it either. I do not distrust it completely since I believe COVID 19 cases can be reduced with the help of vaccinations. ",32.136,1,1,,2,,2,1,3,,4,5,61202bae67e131323ac21ca2,scatter arrows,static
793,49.272,3.33,0,50.396,38.021,2,Somewhat familiar,2,easy,2,,,,,,,52.475,11,1,142.034,3,The amount of people hospitalized with Covid per state and the amount of people of that state who are vaccinated.,The majority of high vaccinated states are seeing a decrease in hospitalizations compared to the lower vaccinated states who are seeing a large spike.,35.152,3,1,47.253,Large increase in lower vaccinated states while higher vaccinated states saw small changes.,91.202,Arkansas can expect to continue to see an increase while Rhode Island should be staying close to it's current position and maybe going down.,115.349,Based on the graph the states that have a higher percentage of fully vaccinated are seeing a lower number of hospitalization. Getting the population fully vaccinated should help reduce hospitalizations.,10.959,7,1,112.276,7,There's still some info that would be helpful to people who are questioning getting the vaccine and there a lot of arrows missing state names. There could also be issues with a state having a higher population than another that could make the numbers seem skewed in a way.,23.551,2,2,,5,,2,2,3,,4,5,61120f31b10ed04e8f0a4a51,scatter arrows,static
807,23.849,2.572,0,34.65,26.771,1,Not at all,3,somewhat easy,5,,,,,,,59.057,1100000,1,105.346,4,"Many states with a lower share of fully vaccinated individuals had a large increase in the number of hospitalizations over the past two weeks, while several states with higher share of fully vaccinated individuals saw a decrease in the number of hospitalizations over the past two weeks.","The more individuals that are fully vaccinated, the less likely people will be hospitalized.",58.196,300000,1,48.495,States with lower share of fully vaccinated people had higher changes than states with a higher share of fully vaccinated people.,33.946,I believe the number of hospitalized people will continue to increase in the next 2 weeks.,280.289,"One big takeaway from this graph is that, the higher percentage of individuals that are vaccinated, the less hospitalizations there will be. For example, Arkansas has a very low share of fully vaccinated individuals with only about 35% vaccinated. With this 35% vaccination rate, it was seen the number of hospitalizations almost double. However, for a state like Washington, D.C. with 55% vaccinated, in the past two weeks, its number of hospitalizations actually went down by over 400000. This leads us to believe that in order to help reduce the number of COVID hospitalizations across the US, we must actively work to get everyone fully vaccinated.",44.325,7,1,43.093,6,I am confused by why there are two Missouri arrows and two Arkansas arrows. This confusion leads me to trust the graphic less.,25.247,1,1,,2,,2,2,5,,5,5,60fd02ff6f95b06cbe039082,scatter arrows,static
1342,31.217,6.458,0,154.926,29.612,5,Familiar,2,easy,2,,,,,,,59.489,11,1,279.842,15,States with over 50% vaccination rates have smaller variances in degree of change for hospitalization cases per 100K. States with under 50% vaccination rates have large variance in the degree of change for hospitalization cases per 100K. Potentially a slight correlation between population density and need for vaccination if the rates are low comparatively.,More population vaccinated = less hospitalizations.,59.518,3,1,373.595,60% of the states have increasing hospitalizations due to only 40% of the states having vaccination rates over 50%. ,112.56,"Arkansas may increase an order or two more than Rhode Island. Though Rhode Island's vaccination number will increase, and the trend seems to show that over 63% vaccination is effective at reducing hospitalizations greatly.",117.641,Portable vaccination clinics for the rural states. Incentives for state citizens to get vaccinated. Require bars and clubs to mandate proof of vaccination.,15.287,7,1,56.878,6,"It's a single source, and I don't see any citations or references to how the data was collected. Good interpretation, but no idea as to the credibility of what is being presented.",25.566,1,2,,5,,4,3,2,,2,4,60f8f1620aa27e6d4f94070e,scatter arrows,static
1016,51.867,11.487,0,48.683,20.514,2,Somewhat familiar,1,very easy,1,,,,,,,46.928,11,1,157.126,7,"This data tells us how much the amount of hospitalizations per 100,000 people raised or lowered over the past two weeks in different states. It also tells us the percentage of vaccinated people within each state. ",The main takeaway is seeing the increase or decrease in hospitalizations in different states over the span of two weeks.,35.701,4,1,92.098,"States with a lower percentage of vaccinated people saw an increase in hospitalizations, while states with a higher percentage of vaccinated people saw a decrease in hospitalizations.",118.657,"It appears that they both increased by about 1 per 100,000, so they would be expected to continue to increase.",215.013,"The greater the percentage of people vaccinated in the state, the more likely the number of COVID hospitalizations will decrease. If we look at the graph, the states with the lower percentage of vaccinated people saw the largest increases of hospitalizations. States with under 50% vaccinations are more likely to increase in hospitalizations, while the states that are 50% and above will likely see a decrease in hospitalizations. ",18.02,7,1,134.411,7,"I think my personal opinion on that vaccine influences my trust in this graph. I believe that people should get vaccinated and that the vaccine will help stop the spread of COVID, so this graph helps to provide evidence for my opinion. If I were against getting the vaccine, I probably wouldn't trust this visualization. ",39.208,1,1,,5,,3,3,4,,4,5,60fe3be7ed44eb38fdb1b5a5,scatter arrows,static
720,6.14,2.588,0,37.088,16.469,2,Somewhat familiar,3,somewhat easy,3,,,,,,,31.55,10.5,1,150.955,3,The increase or decrease in Covid hospitalizations in the last two weeks in comparison with the number of vaccinated residents of the states listed.,"States with fewer residents who are fully vaccinated have increased hospitalizations, while states with more residents who are fully vaccinated are decreasing hospitalizations.",26.212,4,1,85.497,The trends are predictable in the sense that we expect fewer hospitalizations in areas where more people are vaccinated and more hospitalizations in areas when few people are fully vaccinated.,117.732,"Arkansas may continue to rise because of its rapid increase over the last two weeks and low vaccination rates, while Rhode Island may remain at a similar hospitalization rate due to their higher vaccination rate and slower increase over the last two weeks.",86.292,"Many of the states seeing decreases in hospitalization rates are towards the side of the graph with higher numbers of residents being fully vaccinated. The graph indicates that when more individuals are vaccinated, the overall hospitalization numbers go down.",31.735,6,1,72.971,7,"It seems to hold up against statistics I've seen from reputable news outlets, but as I can't see a specific source for it here I am not able to trust it completely.",32.253,1,3,,"4,5",,3,3,4,,5,5,611aee71a385d39371f64aa3,scatter arrows,static
1606,23.145,22.154,0,53.73,28.091,2,Somewhat familiar,3,somewhat easy,3,,,,,,,135.661,17,0,83.595,15,It shows that the more fully vaccinated states have fewer hospitalized people.,Getting fully vaccinated decreases hospitalization and that the vaccines work.,168.533,3,1,63.86,The less fully vaccinated meant that more hospilations were needed.,433.797,Arkansas will continue to increase hospitalizations while Rhode Island will decrease.,186.955,"To reduce the number of covid hospitalizations across the united states, people have to get both their vaccine doses to be considered fully vaccinated as states like Maine, Massachusetts, and Vermont have the highest fully vaccinated percentage and the lowest hospitalizations of everyone in the chart.",122.069,23,0,212.141,7,I trust this visualization because I felt already biased to vaccinations to be efficient and necessary in combating covid.,53.275,1,2,,5,,3,2,4,,5,3,6120175fc04721de234b30a7,scatter arrows,static
